summary_type,name,count
quality_area_l1,機能適合性,46
quality_area_l1,外部結合,46
quality_area_l1,セキュリティ,92
quality_area_l1,SaaS固有,23
quality_area_l1,データ品質,46
quality_area_l1,処理制御,23
quality_area_l1,性能効率性,23
quality_area_l1,信頼性,23
quality_area_l1,運用性,23
quality_area_l1,プライバシー・法令,23
quality_area_l1,利用時品質,22
quality_area_l1,互換性,22
quality_area_l1,保守性,22
quality_area_l1,受入・契約適合,22
quality_area_l1,決済・課金,22
quality_area_l1,分析・OLAP,22
category_l2,業務フロー・機能適合,23
category_l2,入力・出力・画面操作,23
category_l2,API契約・外部IF,23
category_l2,Webhook・非同期・再送,23
category_l2,認証,23
category_l2,認可・権限,23
category_l2,テナント分離・SaaS管理,23
category_l2,セッション・CSRF・CORS,23
category_l2,データ整合性・履歴,23
category_l2,帳票・CSV・エクスポート,23
category_l2,バッチ・ジョブ・スケジューラ,23
category_l2,性能・容量・拡張性,23
category_l2,可用性・障害・DR,23
category_l2,監視・ログ・監査,23
category_l2,脆弱性・セキュア設計,23
category_l2,個人情報・プライバシー,23
category_l2,アクセシビリティ・ユーザビリティ,22
category_l2,ブラウザ・端末・環境互換,22
category_l2,移行・リリース・設定管理,22
category_l2,受入・契約・SLA・業界準拠,22
category_l2,決済・請求・課金,22
category_l2,集計・分析・OLAP観点,22
